stage,case_id,variant,family,collision,goal_reached,mission_outcome,goal_time_s,north_progress_m,goal_distance_reduction_m,path_length_m,pass_through_rate,mean_steering_modification_rad,budget_unknown_fraction,no_witness_fraction
R06,overtaking_018,constrained_short,overtaking,False,,,,2.527313105090478,,33.704919188043306,0.912,0.0378947096849856,0.0,0.084
R06,overtaking_018,hypothetical,overtaking,True,,,,4.764624799621874,,4.77560948644042,0.0357142857142857,0.20788867309381148,0.0,0.9642857142857143
R06,overtaking_019,constrained,overtaking,False,,,,5.025433034221388,,28.945192865202195,0.956,0.007923739850526138,0.0,0.016
R06,overtaking_019,constrained_short,overtaking,False,,,,5.025433034221388,,28.945192865202195,0.956,0.007923739850526138,0.0,0.016
R06,overtaking_019,hypothetical,overtaking,False,,,,8.773824474295353,,29.321201371143307,0.952,0.011953437905447725,0.0,0.04
R07,crossing_000,feedback_constrained,crossing,False,False,timeout,,12.823302723400582,-7.619957240141691,34.96953993769345,0.4675,0.358881412236387,0.0,0.485
R07,crossing_000,feedback_hypothetical,crossing,False,True,goal,18.38,16.767638720180916,16.7221302233845,17.2797519934664,0.8478260869565217,0.07527188647631583,0.0,0.25
R07,crossing_000,open_constrained,crossing,False,False,timeout,,3.536075237557089,2.218063811153179,34.10334559491452,0.9825,0.006815391032958827,0.0,0.015
R07,crossing_000,open_hypothetical,crossing,False,False,timeout,,4.8781319918399255,3.309876865738696,34.27201205041991,0.9875,0.00227494285656058,0.0,0.005
R07,crossing_001,feedback_constrained,crossing,False,False,timeout,,7.6386607605539005,-12.680685412929726,35.21951874807641,0.35,0.4432905416974299,0.0,0.5675
R07,crossing_001,feedback_hypothetical,crossing,True,False,collision,,9.023978651070063,8.865675713942805,9.70786421749202,0.6880733944954128,0.21834647964534817,0.0,0.5321100917431193
R07,crossing_001,open_constrained,crossing,False,False,timeout,,4.748187943449106,3.255677076913763,33.347027780592185,0.99,0.004759268505296961,0.0,0.01
R07,crossing_001,open_hypothetical,crossing,False,False,timeout,,6.603409317172142,5.035260715624643,33.525830884552,0.985,0.002180711903189685,0.0,0.0125
R07,crossing_002,feedback_constrained,crossing,False,True,goal,28.86,19.283033561175557,18.485881871406942,32.285717810191116,0.6816608996539792,0.1940543736739773,0.0,0.21453287197231835
R07,crossing_002,feedback_hypothetical,crossing,False,True,goal,17.500000000000004,18.599141529028042,18.470060700730663,19.85148006236579,0.9028571428571428,0.06168277039839071,0.0,0.22285714285714286
R07,crossing_002,open_constrained,crossing,False,False,timeout,,6.396746320311523,6.38477204620342,41.79364047957905,0.9925,0.0021070596188893847,0.0,0.005
R07,crossing_002,open_hypothetical,crossing,False,False,timeout,,6.404493824917758,6.391958582457596,41.80291970093248,0.9925,0.0019301079384946838,0.0,0.0075
R07,crossing_003,feedback_constrained,crossing,True,False,collision,,12.351841917918165,5.103616716170018,21.804816534226518,0.4741784037558685,0.34083368194766334,0.0,0.6384976525821596
R07,crossing_003,feedback_hypothetical,crossing,False,True,goal,18.18,18.059608791886404,17.94252341392522,19.03175309600884,0.8791208791208791,0.06665027899927199,0.0,0.2087912087912088
R07,crossing_003,open_constrained,crossing,False,False,timeout,,2.8860201169291297,2.648606738585098,38.49928465259461,0.9675,0.012643899096337941,0.0,0.03
R07,crossing_003,open_hypothetical,crossing,False,False,timeout,,13.719561414197315,6.7843953754135224,40.03547567247817,0.61,0.12640756641725598,0.0,0.355
R07,crossing_004,feedback_constrained,crossing,False,True,goal,25.82,16.29045181184547,15.707828472279918,23.58973622950555,0.6795366795366795,0.1732658120716684,0.0,0.24324324324324326
