stage,variant,case,family,collision,goal_reached,mission_outcome,observed_duration_s,minimum_true_hull_clearance_m,north_progress_m,budget_unknown_fraction,mean_integration_steps
R08_open,u4_first_b512,crossing_018,crossing,True,,,6.2,-0.1329460929380134,7.208233246186357,0.6612903225806451,378.0806451612903
R08_open,u2_exhaustive_b2000000,crossing_019,crossing,False,,,20.000000000000004,3.164382261372195,0.6770368959716695,0.0,992.74
R08_open,u2_exhaustive_b2048,crossing_019,crossing,False,,,20.000000000000004,0.6706945207925499,17.164336360306685,0.24,926.67
R08_open,u2_exhaustive_b512,crossing_019,crossing,False,,,20.000000000000004,0.5898116010787784,17.084771492998215,0.775,455.635
R08_open,u2_first_b2000000,crossing_019,crossing,False,,,20.000000000000004,3.164382261372195,0.6770368959716695,0.0,582.17
R08_open,u2_first_b2048,crossing_019,crossing,False,,,20.000000000000004,0.6706945207925499,17.164336360306685,0.24,646.665
R08_open,u2_first_b512,crossing_019,crossing,False,,,20.000000000000004,0.5898116010787784,18.591705223665258,0.285,208.685
R08_open,u4_first_b2000000,crossing_019,crossing,False,,,20.000000000000004,3.170089565246949,0.6645161810265483,0.0,378.835
R08_open,u4_first_b2048,crossing_019,crossing,False,,,20.000000000000004,0.4676190333468706,13.4990721190862,0.2,597.235
R08_open,u4_first_b512,crossing_019,crossing,False,,,20.000000000000004,0.5912554816371274,15.395254803931795,0.275,202.425
R08_open,u2_exhaustive_b2000000,late_high_throttle_000,late_high_throttle,False,,,20.000000000000004,1.1059342883686425,3.0759842573274874,0.0,694.58
R08_open,u2_exhaustive_b2048,late_high_throttle_000,late_high_throttle,True,,,3.7,-0.08141966393173916,6.050728552311597,0.2972972972972973,1024.027027027027
R08_open,u2_exhaustive_b512,late_high_throttle_000,late_high_throttle,True,,,3.7,-0.09696330441961554,6.06035871386898,0.5135135135135135,380.56756756756755
R08_open,u2_first_b2000000,late_high_throttle_000,late_high_throttle,False,,,20.000000000000004,1.1059342883686425,3.0759842573274874,0.0,289.745
R08_open,u2_first_b2048,late_high_throttle_000,late_high_throttle,True,,,3.7,-0.08141966393173916,6.050728552311597,0.2972972972972973,964.3243243243244
R08_open,u2_first_b512,late_high_throttle_000,late_high_throttle,True,,,3.7,-0.09696330441961554,6.06035871386898,0.5135135135135135,320.86486486486484
R08_open,u4_first_b2000000,late_high_throttle_000,late_high_throttle,False,,,20.000000000000004,1.1090967854268152,2.7745480196912258,0.0,194.505
R08_open,u4_first_b2048,late_high_throttle_000,late_high_throttle,False,,,20.000000000000004,0.9759716651834665,2.7488631162818367,0.015,235.915
R08_open,u4_first_b512,late_high_throttle_000,late_high_throttle,True,,,3.7,-0.0927761100175043,6.057688084314112,0.4594594594594595,300.4864864864865
R08_open,u2_exhaustive_b2000000,late_high_throttle_001,late_high_throttle,False,,,20.000000000000004,1.1456980034913244,1.974148434061676,0.0,762.195
R08_open,u2_exhaustive_b2048,late_high_throttle_001,late_high_throttle,True,,,3.1,-0.12684123509937129,4.780113740537111,0.3548387096774194,1170.0645161290322
R08_open,u2_exhaustive_b512,late_high_throttle_001,late_high_throttle,True,,,3.1,-0.13452318124459106,4.784145194592887,0.6451612903225806,380.38709677419354
R08_open,u2_first_b2000000,late_high_throttle_001,late_high_throttle,False,,,20.000000000000004,1.1456980034913244,1.974148434061676,0.0,361.905
R08_open,u2_first_b2048,late_high_throttle_001,late_high_throttle,True,,,3.1,-0.12684123509937129,4.780113740537111,0.3548387096774194,1162.9032258064517
R08_open,u2_first_b512,late_high_throttle_001,late_high_throttle,True,,,3.1,-0.13452318124459106,4.784145194592887,0.6451612903225806,373.2258064516129
R08_open,u4_first_b2000000,late_high_throttle_001,late_high_throttle,False,,,20.000000000000004,1.1456980034913244,1.9576134028691654,0.0,233.52
R08_open,u4_first_b2048,late_high_throttle_001,late_high_throttle,False,,,20.000000000000004,0.8697886902770184,7.81710357292749,0.06,370.385
R08_open,u4_first_b512,late_high_throttle_001,late_high_throttle,True,,,3.1,-0.13449211209541378,4.784213239200905,0.5806451612903226,354.3225806451613
R08_open,u2_exhaustive_b2000000,late_high_throttle_002,late_high_throttle,False,,,20.000000000000004,1.0830608778666304,2.743321423015283,0.0,663.025
R08_open,u2_exhaustive_b2048,late_high_throttle_002,late_high_throttle,True,,,3.2,-0.04398783127568129,4.819576314799361,0.34375,1140.59375
R08_open,u2_exhaustive_b512,late_high_throttle_002,late_high_throttle,True,,,3.2,-0.10521651215966016,4.862296839220282,0.625,374.46875
R08_open,u2_first_b2000000,late_high_throttle_002,late_high_throttle,False,,,20.000000000000004,1.0830608778666304,2.743321423015283,0.0,272.845
R08_open,u2_first_b2048,late_high_throttle_002,late_high_throttle,True,,,3.2,-0.04398783127568129,4.819576314799361,0.34375,1127.375
R08_open,u2_first_b512,late_high_throttle_002,late_high_throttle,True,,,3.2,-0.10521651215966016,4.862296839220282,0.625,361.25
R08_open,u4_first_b2000000,late_high_throttle_002,late_high_throttle,False,,,20.000000000000004,1.083470510435355,2.688574355653668,0.0,196.365
R08_open,u4_first_b2048,late_high_throttle_002,late_high_throttle,False,,,20.000000000000004,0.9403013640950253,5.364732551809297,0.03,269.495
R08_open,u4_first_b512,late_high_throttle_002,late_high_throttle,True,,,3.2,-0.10516549421457744,4.862274619493428,0.5,339.0625
